,name,month,day,pr_max,tas_max
0,Punjab,April,16,2.6587995e-06,303.8719
1,Punjab,April,16,2.6587995e-06,313.34924
2,Punjab,April,16,2.6587995e-06,283.18073
3,Punjab,April,16,2.6587995e-06,290.15585
4,Punjab,April,16,2.6587995e-06,284.62964
5,Punjab,April,16,2.6587995e-06,314.12283
6,Punjab,April,16,2.6587995e-06,313.30804
7,Punjab,April,16,2.6587995e-06,294.88702
8,Punjab,April,16,2.6587995e-06,311.7877
9,Punjab,April,16,2.6587995e-06,291.21906
10,Punjab,April,16,2.6587995e-06,303.15552
11,Punjab,April,16,2.6587995e-06,310.1023
12,Punjab,August,16,2.7201431e-05,303.8719
13,Punjab,August,16,2.7201431e-05,313.34924
14,Punjab,August,16,2.7201431e-05,283.18073
15,Punjab,August,16,2.7201431e-05,290.15585
16,Punjab,August,16,2.7201431e-05,284.62964
17,Punjab,August,16,2.7201431e-05,314.12283
18,Punjab,August,16,2.7201431e-05,313.30804
19,Punjab,August,16,2.7201431e-05,294.88702
20,Punjab,August,16,2.7201431e-05,311.7877
21,Punjab,August,16,2.7201431e-05,291.21906
22,Punjab,August,16,2.7201431e-05,303.15552
23,Punjab,August,16,2.7201431e-05,310.1023
24,Punjab,December,16,1.030609e-05,303.8719
25,Punjab,December,16,1.030609e-05,313.34924
26,Punjab,December,16,1.030609e-05,283.18073
27,Punjab,December,16,1.030609e-05,290.15585
28,Punjab,December,16,1.030609e-05,284.62964
29,Punjab,December,16,1.030609e-05,314.12283
30,Punjab,December,16,1.030609e-05,313.30804
31,Punjab,December,16,1.030609e-05,294.88702
32,Punjab,December,16,1.030609e-05,311.7877
33,Punjab,December,16,1.030609e-05,291.21906
34,Punjab,December,16,1.030609e-05,303.15552
35,Punjab,December,16,1.030609e-05,310.1023
36,Punjab,February,15,2.8977156e-05,303.8719
37,Punjab,February,15,2.8977156e-05,313.34924
38,Punjab,February,15,2.8977156e-05,283.18073
39,Punjab,February,15,2.8977156e-05,290.15585
40,Punjab,February,15,2.8977156e-05,284.62964
41,Punjab,February,15,2.8977156e-05,314.12283
42,Punjab,February,15,2.8977156e-05,313.30804
43,Punjab,February,15,2.8977156e-05,294.88702
44,Punjab,February,15,2.8977156e-05,311.7877
45,Punjab,February,15,2.8977156e-05,291.21906
46,Punjab,February,15,2.8977156e-05,303.15552
47,Punjab,February,15,2.8977156e-05,310.1023
48,Punjab,January,16,2.4979013e-06,303.8719
49,Punjab,January,16,2.4979013e-06,313.34924
50,Punjab,January,16,2.4979013e-06,283.18073
51,Punjab,January,16,2.4979013e-06,290.15585
52,Punjab,January,16,2.4979013e-06,284.62964
53,Punjab,January,16,2.4979013e-06,314.12283
54,Punjab,January,16,2.4979013e-06,313.30804
55,Punjab,January,16,2.4979013e-06,294.88702
56,Punjab,January,16,2.4979013e-06,311.7877
57,Punjab,January,16,2.4979013e-06,291.21906
58,Punjab,January,16,2.4979013e-06,303.15552
59,Punjab,January,16,2.4979013e-06,310.1023
60,Punjab,July,16,2.4827283e-05,303.8719
61,Punjab,July,16,2.4827283e-05,313.34924
62,Punjab,July,16,2.4827283e-05,283.18073
63,Punjab,July,16,2.4827283e-05,290.15585
64,Punjab,July,16,2.4827283e-05,284.62964
65,Punjab,July,16,2.4827283e-05,314.12283
66,Punjab,July,16,2.4827283e-05,313.30804
67,Punjab,July,16,2.4827283e-05,294.88702
68,Punjab,July,16,2.4827283e-05,311.7877
69,Punjab,July,16,2.4827283e-05,291.21906
70,Punjab,July,16,2.4827283e-05,303.15552
71,Punjab,July,16,2.4827283e-05,310.1023
72,Punjab,June,16,2.4429914e-09,303.8719
73,Punjab,June,16,2.4429914e-09,313.34924
74,Punjab,June,16,2.4429914e-09,283.18073
75,Punjab,June,16,2.4429914e-09,290.15585
76,Punjab,June,16,2.4429914e-09,284.62964
77,Punjab,June,16,2.4429914e-09,314.12283
78,Punjab,June,16,2.4429914e-09,313.30804
79,Punjab,June,16,2.4429914e-09,294.88702
80,Punjab,June,16,2.4429914e-09,311.7877
81,Punjab,June,16,2.4429914e-09,291.21906
82,Punjab,June,16,2.4429914e-09,303.15552
83,Punjab,June,16,2.4429914e-09,310.1023
84,Punjab,March,16,4.075645e-05,303.8719
85,Punjab,March,16,4.075645e-05,313.34924
86,Punjab,March,16,4.075645e-05,283.18073
87,Punjab,March,16,4.075645e-05,290.15585
88,Punjab,March,16,4.075645e-05,284.62964
89,Punjab,March,16,4.075645e-05,314.12283
90,Punjab,March,16,4.075645e-05,313.30804
91,Punjab,March,16,4.075645e-05,294.88702
92,Punjab,March,16,4.075645e-05,311.7877
93,Punjab,March,16,4.075645e-05,291.21906
94,Punjab,March,16,4.075645e-05,303.15552
95,Punjab,March,16,4.075645e-05,310.1023
96,Punjab,May,16,1.8435648e-08,303.8719
97,Punjab,May,16,1.8435648e-08,313.34924
98,Punjab,May,16,1.8435648e-08,283.18073
99,Punjab,May,16,1.8435648e-08,290.15585
100,Punjab,May,16,1.8435648e-08,284.62964
101,Punjab,May,16,1.8435648e-08,314.12283
102,Punjab,May,16,1.8435648e-08,313.30804
103,Punjab,May,16,1.8435648e-08,294.88702
104,Punjab,May,16,1.8435648e-08,311.7877
105,Punjab,May,16,1.8435648e-08,291.21906
106,Punjab,May,16,1.8435648e-08,303.15552
107,Punjab,May,16,1.8435648e-08,310.1023
108,Punjab,November,16,6.884231e-09,303.8719
109,Punjab,November,16,6.884231e-09,313.34924
110,Punjab,November,16,6.884231e-09,283.18073
111,Punjab,November,16,6.884231e-09,290.15585
112,Punjab,November,16,6.884231e-09,284.62964
113,Punjab,November,16,6.884231e-09,314.12283
114,Punjab,November,16,6.884231e-09,313.30804
115,Punjab,November,16,6.884231e-09,294.88702
116,Punjab,November,16,6.884231e-09,311.7877
117,Punjab,November,16,6.884231e-09,291.21906
118,Punjab,November,16,6.884231e-09,303.15552
119,Punjab,November,16,6.884231e-09,310.1023
120,Punjab,October,16,3.797793e-07,303.8719
121,Punjab,October,16,3.797793e-07,313.34924
122,Punjab,October,16,3.797793e-07,283.18073
123,Punjab,October,16,3.797793e-07,290.15585
124,Punjab,October,16,3.797793e-07,284.62964
125,Punjab,October,16,3.797793e-07,314.12283
126,Punjab,October,16,3.797793e-07,313.30804
127,Punjab,October,16,3.797793e-07,294.88702
128,Punjab,October,16,3.797793e-07,311.7877
129,Punjab,October,16,3.797793e-07,291.21906
130,Punjab,October,16,3.797793e-07,303.15552
131,Punjab,October,16,3.797793e-07,310.1023
132,Punjab,September,16,2.6021953e-05,303.8719
133,Punjab,September,16,2.6021953e-05,313.34924
134,Punjab,September,16,2.6021953e-05,283.18073
135,Punjab,September,16,2.6021953e-05,290.15585
136,Punjab,September,16,2.6021953e-05,284.62964
137,Punjab,September,16,2.6021953e-05,314.12283
138,Punjab,September,16,2.6021953e-05,313.30804
139,Punjab,September,16,2.6021953e-05,294.88702
140,Punjab,September,16,2.6021953e-05,311.7877
141,Punjab,September,16,2.6021953e-05,291.21906
142,Punjab,September,16,2.6021953e-05,303.15552
143,Punjab,September,16,2.6021953e-05,310.1023
